Reference,Category,delta15N-N2O,"Site Preference (SP), defined either as [delta15N_alpha - delta15N_beta] or [15R_alpha/15R_beta - 1], where alpha is the central N atom and beta is the terminal N atom in the assymetric N-N-O molecule",delta18O-N2O,Site description,Surface flux and near-surface data subset
,,per mill relative to air,per mill relative to air,permil relative to vsmow,including: location/altitute/depth/latitude and longitude/land-use/date range,filter:  include all flux values; soil gas >650 ppb N2O; dissolved N2O >200% saturation
Baulch et al._2011,Freshwater,-20,,41.7,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-18.6,,34.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-18.6,,45.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-9.4,,54.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,0.2,,60.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-17.7,,37.2,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-8.5,,49,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-10.3,,44.6,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-12.2,,44,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-9.9,,49.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,7.5,,56.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-11.2,,46.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-9.7,,42.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-6.5,,50.1,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-7.9,,51.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-7.5,,51.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-4.7,,51.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-4.2,,53.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-0.1,,67.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-1.9,,53.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,1.6,,55.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-17.5,,59.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-20.1,,45.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-19.8,,44,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-11.4,,41.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-10.6,,44.1,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-9.8,,46.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-22.6,,43.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-18,,41.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-19.8,,45.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-20.6,,44.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,18.2,,52.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,16.8,,44.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-2.4,,58,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-0.2,,50.6,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
