Reference,Category,Mean Flux (g N2O-N/ha/day),Standard deviation (SD),Median Flux (g N2O-N/ha/day),Minimum Flux (g N2O-N/ha/day),Maximum Flux (g N2O-N/ha/day),delta15N-N2O (per mill relative to air),Propegated standard deviation (SD),15N-Site Preference (per mill relative to air),Propegated standard deviation (SD),delta18O-N2O (permil relative to vsmow),Propegated standard deviation (SD),sample size (n),Error/SD information,Site description
Baulch et al._2011,Freshwater,n/a,n/a,n/a,n/a,n/a,-18.6,n/a,n/a,n/a,32.7,n/a,n/a,Unable to determine based on information provided in study,"TIME & FLUX-WEIGHTED AVERAGE VALUE_Grand River, SW Ontario, Canada"
Baulch et al._2011,Freshwater,n/a,n/a,n/a,n/a,n/a,-16.2,n/a,n/a,n/a,47.4,n/a,n/a,Unable to determine based on information provided in study,"TIME & FLUX-WEIGHTED AVERAGE VALUE_Black River, SW Ontario, Canada"
Baulch et al._2011,Freshwater,n/a,n/a,n/a,n/a,n/a,-7.1,n/a,n/a,n/a,47.8,n/a,n/a,Unable to determine based on information provided in study,"TIME & FLUX-WEIGHTED AVERAGE VALUE_Mariposa Brook-Upper, SW Ontario, Canada"
Baulch et al._2011,Freshwater,n/a,n/a,n/a,n/a,n/a,-5.1,n/a,n/a,n/a,47,n/a,n/a,Unable to determine based on information provided in study,"TIME & FLUX-WEIGHTED AVERAGE VALUE_Mariposa Brook-Lower, SW Ontario, Canada"
Baulch et al._2011,Freshwater,n/a,n/a,n/a,n/a,n/a,2.3,n/a,n/a,n/a,51.5,n/a,n/a,Unable to determine based on information provided in study,"TIME & FLUX-WEIGHTED AVERAGE VALUE_Layton Creek, SW Ontario, Canada"
Frame et al._2014,Marine,2,2.4,0.5,0.04,6.4,5.2,n/a,9.5,n/a,42.6,n/a,11,Unable to determine based on information provided in study,FLUX-WEIGHTED AVERAGE VALUE_all stations with positive flux_using sample closest to the surface
Ostrom et al._2010,Soil,10.6,1.9,11.3,7.9,12.2,-19.1,n/a,11.9,n/a,37.6,n/a,4,Unable to determine based on information provided in study,"FLUX-WEIGHTED AVERAGE VALUE_Michigan State (KBS LTER), USA, fertilized grassland"
Park et al._2011,Soil,5.8,4.8,3.6,2.2,14.2,-18,4,9.7,7.9,12.1,5.9,6,Values provided in study,"FLUX-WEIGHTED AVERAGE VALUE_Amazon, Brazil, tropical rainforest soil"
Park et al._2011,Soil,94.9,72.6,69.6,9.1,241.9,-34.3,12.4,1.5,21,26.3,4.4,17,Values provided in study,"FLUX-WEIGHTED AVERAGE VALUE_Venezuela, tropical agriculture"
Perez et al._2000,Soil,92.4,107.6,61.9,19.6,281.2,-26,2.5,n/a,n/a,26.3,5.2,3,As reported in Park et al. 2011,"FLUX-WEIGHTED AVERAGE VALUE_Costa Rica, tropical forest soil"
